,code,date,news,extract_code,extracted_date
2022,https://www.klsescreener.com/v2/news/stock/0001,"TheStar04 Apr, 2019 08:45am - 6 days ago",Scomnet’s bonus issue approved,0001,2019-04-04
10387,https://www.klsescreener.com/v2/news/stock/0002,"TheEdge14 Mar, 2019 00:37am - 4 days ago","HDC signs MoU with Korean agency to enhance halal bilateral trade, investment",0002,2019-03-14
10388,https://www.klsescreener.com/v2/news/stock/0002,"TheEdge13 Mar, 2019 01:52am - 5 days ago",Malaysia's first and biggest-Korean themed retail zone opens in 1 Utama,0002,2019-03-13
9183,https://www.klsescreener.com/v2/news/stock/0005,"TheEdge15 Mar, 2019 13:55pm - 2 days ago","OCK, Ucrest, Orion, Bahvest, Tri-Mode, IWCity, Hiap Teck, Marine & General, Can-One, SeaLink, Tambun Indah, BFood, PCCS, Master-Pack, Uzma, Eden, Taliworks, Sinmah Cap",0005,2019-03-15
4800,https://www.klsescreener.com/v2/news/stock/0007,"Sinchew25 Mar, 2019 09:45am - 3 weeks ago",延续上周走势‧马股早盘低迷,0007,2019-03-25
4799,https://www.klsescreener.com/v2/news/stock/0007,"Sinchew27 Mar, 2019 11:29am - 3 weeks ago",PUC与Laputa Ventures合约改为非独家性质,0007,2019-03-27
4798,https://www.klsescreener.com/v2/news/stock/0007,"TheEdge04 Apr, 2019 14:00pm - 1 week ago","Off-Market Trades: PLS Plantations Bhd, PUC Bhd, Tasek Corp Bhd, United Plantations Bhd, KIP Real Estate Investment Trust, Widad Group Bhd",0007,2019-04-04
13861,https://www.klsescreener.com/v2/news/stock/0007,"TheEdge19 Mar, 2019 13:46pm - 1 week ago",投资者情绪转淡 拖累马股回落,0007,2019-03-19
13862,https://www.klsescreener.com/v2/news/stock/0007,"TheEdge19 Mar, 2019 13:00pm - 1 week ago",KLCI retreats as sentiment turns tepid,0007,2019-03-19
13863,https://www.klsescreener.com/v2/news/stock/0007,"TheEdge19 Mar, 2019 10:43am - 1 week ago",马股小幅上升 乏力突破1700点,0007,2019-03-19
13864,https://www.klsescreener.com/v2/news/stock/0007,"TheEdge19 Mar, 2019 10:23am - 1 week ago","KLCI edges up, struggles to breach 1,700 level",0007,2019-03-19
13865,https://www.klsescreener.com/v2/news/stock/0007,"TheEdge18 Mar, 2019 13:33pm - 1 week ago",蓝筹股走高 提振马股小涨0.38%,0007,2019-03-18
13868,https://www.klsescreener.com/v2/news/stock/0007,"TheEdge18 Mar, 2019 10:36am - 1 week ago",蓝筹股推升 马股随区域扬0.21%,0007,2019-03-18
13867,https://www.klsescreener.com/v2/news/stock/0007,"TheStar18 Mar, 2019 12:50pm - 1 week ago",KLCI gains on expectations of dovish Fed announcements,0007,2019-03-18
13870,https://www.klsescreener.com/v2/news/stock/0007,"Sinchew18 Mar, 2019 10:00am - 1 week ago",美股涨带动‧马股开盘走高,0007,2019-03-18
13866,https://www.klsescreener.com/v2/news/stock/0007,"TheEdge18 Mar, 2019 12:53pm - 1 week ago","KLCI pares gains, up 0.38% as select blue chips lift",0007,2019-03-18
13869,https://www.klsescreener.com/v2/news/stock/0007,"TheEdge18 Mar, 2019 10:20am - 1 week ago","KLCI tracks regional markets, up 0.21% as select blue chips lift",0007,2019-03-18
2774,https://www.klsescreener.com/v2/news/stock/0008,"Sinchew04 Apr, 2019 10:05am - 6 days ago",柳谷系统获国能976万合约,0008,2019-04-04
2775,https://www.klsescreener.com/v2/news/stock/0008,"TheStar04 Apr, 2019 09:00am - 6 days ago","Trading ideas: Genting, Willowglen, MMC, AWC",0008,2019-04-04
2776,https://www.klsescreener.com/v2/news/stock/0008,"TheStar04 Apr, 2019 08:00am - 6 days ago",Willowglen wins TNB contract,0008,2019-04-04
2777,https://www.klsescreener.com/v2/news/stock/0008,"TheEdge04 Apr, 2019 00:53am - 6 days ago","Genting, Genting Malaysia, Can-One, Kian Joo, Sino Hua-An, MMC Corp, AWC, KIP REIT and Willowglen MSC",0008,2019-04-04
2778,https://www.klsescreener.com/v2/news/stock/0008,"Nanyang04 Apr, 2019 00:05am - 6 days ago",柳谷获国能976万合约,0008,2019-04-04
2779,https://www.klsescreener.com/v2/news/stock/0008,"TheEdge03 Apr, 2019 19:15pm - 1 week ago",Willowglen gets terminal unit contract from TNB,0008,2019-04-03
8422,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge25 Mar, 2019 13:05pm - 1 week ago",KLCI sinks 0.95% as regional markets stumble,0010,2019-03-25
8423,https://www.klsescreener.com/v2/news/stock/0010,"TheStar22 Mar, 2019 17:49pm - 1 week ago",Iris Corp executive director Rozabil resigns,0010,2019-03-22
8424,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge19 Mar, 2019 17:00pm - 2 weeks ago",PPAM job cancellations will affect more developers,0010,2019-03-19
8425,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge19 Mar, 2019 14:00pm - 2 weeks ago","Insider Moves: MQ Technology Bhd, Seacera Group Bhd, Alam Maritim Resources Bhd, Barakah Offshore Petroleum Bhd, Media Prima Bhd",0010,2019-03-19
17506,https://www.klsescreener.com/v2/news/stock/0010,"Orientaldaily25 Mar, 2019 21:56pm - 2 weeks ago",大馬卡新供應合約　德達　艾利斯有望突圍,0010,2019-03-25
17508,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge25 Mar, 2019 13:28pm - 2 weeks ago",区域股市大跌 马股挫0.95%,0010,2019-03-25
17507,https://www.klsescreener.com/v2/news/stock/0010,"Sinchew25 Mar, 2019 13:39pm - 2 weeks ago",阿玛达涨2.7%‧马股早盘一蹶不振跌15.78,0010,2019-03-25
17471,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge15 Mar, 2019 10:16am - 3 days ago","KLCI reverses loss, edges higher in line with region",0010,2019-03-15
8418,https://www.klsescreener.com/v2/news/stock/0010,"TheStar26 Mar, 2019 09:15am - 1 week ago",Iris seen as strong candidate for possible MyKad contract,0010,2019-03-26
17501,https://www.klsescreener.com/v2/news/stock/0010,"Sinchew26 Mar, 2019 11:20am - 1 day ago",大马卡合约将招标·艾力斯具竞争优势,0010,2019-03-26
17500,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge27 Mar, 2019 12:49pm - 7 hours ago",KLCI pares loss after dipping to 3-month low,0010,2019-03-27
17499,https://www.klsescreener.com/v2/news/stock/0010,"TheStar27 Mar, 2019 12:56pm - 7 hours ago","KLCI extends fall; banks, telcos lead decline",0010,2019-03-27
17498,https://www.klsescreener.com/v2/news/stock/0010,"Sinchew27 Mar, 2019 13:03pm - 7 hours ago",国行年报将出炉 ·马股半日跌6.46点,0010,2019-03-27
17497,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge27 Mar, 2019 13:13pm - 7 hours ago",跌至3个月低位后 马股收复部分失地,0010,2019-03-27
17496,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge27 Mar, 2019 14:00pm - 6 hours ago","IRIS Corp in pursuit of acquisitions, partners",0010,2019-03-27
8411,https://www.klsescreener.com/v2/news/stock/0010,"TheStar27 Mar, 2019 17:05pm - 1 week ago","Public Bank, Genting lead KLCI lower",0010,2019-03-27
17472,https://www.klsescreener.com/v2/news/stock/0010,"TheStar12 Mar, 2019 00:00am - 6 days ago","Proton expects sales of Persona, Iriz to increase 30%",0010,2019-03-12
8409,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge27 Mar, 2019 19:18pm - 1 week ago",缺乏催化剂 马股处于年内低位,0010,2019-03-27
8408,https://www.klsescreener.com/v2/news/stock/0010,"TheStar30 Mar, 2019 07:35am - 4 days ago",GHL’s petrol subsidy win a market surprise,0010,2019-03-30
17494,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge27 Mar, 2019 18:52pm - 1 hour ago",FBM KLCI at year’s low in the absence of positive catalysts,0010,2019-03-27
