full name,name,category,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
SUMATEC RESOURCES BERHAD,"SUMATEC (1201) [s]
SUMATEC RESOURCES BERHAD Summary",Energy - Main Market,0.005 - 0.075,-0.59,-16,-0.06,0,0,0.1,0.07,14,42.5M,Neutral 52.7,Overbought 100.0
,ETH (03021),Consumer Products & Services - Leap Market,0.165 - 0.175,0,0,0,0,0,16.5,0,,0.9M,Oversold 0.0,Oversold 0.0
DESTINI BERHAD,"DESTINI (7212) [s]
DESTINI BERHAD Summary",Industrial Products & Services - Main Market,0.120 - 0.560,0.36,144,0.16,0,0,0.51,34.72,1,259.9M,Neutral 49.2,Neutral 40.0
MUHIBBAH ENGINEERING (M) BHD,"MUHIBAH (5703) [s]
MUHIBBAH ENGINEERING (M) BHD Summary",Construction - Main Market,2.510 - 3.200,12.85,10,29.94,0,0,1.27,324.63,1,"1,426.6M",Neutral 51.7,Neutral 70.8
UOA DEVELOPMENT BHD,"UOADEV (5200) [s]
UOA DEVELOPMENT BHD Summary",Property - Main Market,1.840 - 2.710,8.09,11,20.54,15,0.0691,0.85,68.5,3,"4,003.4M",Neutral 35.1,Oversold 0.0
T7 GLOBAL BERHAD,"T7GLOBAL (7228) [s]
T7 GLOBAL BERHAD Summary",Energy - Main Market,0.300 - 0.610,5.38,30,1.83,0,0,1.59,50.17,1,226.5M,Overbought 75.4,Neutral 71.9
PPB GROUP BERHAD,"PPB (4065) [s]
PPB GROUP BERHAD Summary",Consumer Products & Services - Main Market,16.400 - 21.040,5.11,24,75.57,28,0.0151,1.25,318.31,6,"26,318.1M",Neutral 58.5,Neutral 37.5
MALAYSIA BUILDING SOCIETY BERHAD,"MBSB (1171)
MALAYSIA BUILDING SOCIETY BERHAD Summary",Financial Services - Main Market,0.890 - 1.250,8.04,10,10.05,5,0.0503,0.8,49.24,2,"6,357.2M",Neutral 45.6,Oversold 15.0
SANICHI TECHNOLOGY BERHAD,"SANICHI (0133)
SANICHI TECHNOLOGY BERHAD Summary",Industrial Products & Services - Ace Market,0.050 - 0.180,-22.91,-3,-1.83,0,0,0.69,2.86,2,61.0M,Neutral 41.4,Neutral 33.3
KUMPULAN POWERNET BERHAD,"KPOWER (7130) [s]
KUMPULAN POWERNET BERHAD Summary",Consumer Products & Services - Main Market,0.330 - 0.730,-18.2,-7,-5.46,0,0,1.3,6.6,6,29.7M,Neutral 44.0,Neutral 30.8
