full name,name,category,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
APOLLO FOOD HOLDINGS BERHAD,"APOLLO (6432) [s]
APOLLO FOOD HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,3.550 - 4.560,6.26,21,18.90,20.00,5.15%,1.28,233.85,2,310.4M,Neutral 49.8,Neutral 25.0
BERJAYA CORPORATION BERHAD,"BJCORP (3395)
BERJAYA CORPORATION BERHAD Summary",Industrial Products & Services - Main Market,0.245 - 0.395,-2.90,-7,-3.72,0.00,0.00%,0.21,158.30,0,"1,408.0M",Neutral 46.8,Neutral 71.4
LB ALUMINIUM BERHAD,"LBALUM (9326) [s]
LB ALUMINIUM BERHAD Summary",Industrial Products & Services - Main Market,0.440 - 0.680,3.04,14,3.68,1.00,1.94%,0.43,218.02,0,128.0M,Neutral 55.0,Neutral 41.2
GREENYIELD BERHAD,"GREENYB (0136) [s]
GREENYIELD BERHAD Summary",Consumer Products & Services - Main Market,0.105 - 0.200,1.20,65,0.20,0.00,0.00%,0.78,12.11,1,43.4M,Neutral 48.2,Neutral 25.0
JKG LAND BERHAD,"JKGLAND (6769) [s]
JKG LAND BERHAD Summary",Property - Main Market,0.070 - 0.100,0.45,87,0.09,0.00,0.00%,0.40,3.37,2,182.0M,Neutral 58.6,Neutral 50.0
SYF RESOURCES BERHAD,"SYF (7082) [s]
SYF RESOURCES BERHAD Summary",Consumer Products & Services - Main Market,0.210 - 0.370,-8.73,-6,-3.93,1.25,5.68%,0.49,36.27,1,136.2M,Neutral 44.7,Oversold 0.0
ECO WORLD DEVELOPMENT GROUP BERHAD,"ECOWLD (8206) [s]
ECO WORLD DEVELOPMENT GROUP BERHAD Summary",Property - Main Market,0.890 - 1.450,3.95,16,5.84,0.00,0.00%,0.63,70.90,1,"2,738.3M",Neutral 49.0,Neutral 60.0
ECO WORLD INTERNATIONAL BERHAD,"EWINT (5283)
ECO WORLD INTERNATIONAL BERHAD Summary",Property - Main Market,0.665 - 1.150,2.94,24,3.09,0.00,0.00%,0.71,0.20,366,"1,788.0M",Neutral 43.6,Oversold 11.1
KEIN HING INTERNATIONAL BERHAD,"KEINHIN (7199) [s]
KEIN HING INTERNATIONAL BERHAD Summary",Industrial Products & Services - Main Market,0.470 - 0.630,2.72,18,2.77,1.00,2.00%,0.49,215.88,0,54.4M,Neutral 68.0,Overbought 96.6
CYL CORPORATION BERHAD,"CYL (7157) [s]
CYL CORPORATION BERHAD Summary",Industrial Products & Services - Main Market,0.400 - 0.690,-2.94,-23,-1.84,0.00,0.00%,0.67,53.46,1,42.0M,Neutral 41.4,Oversold 14.3
MINTYE BERHAD,"MBG (5886) [s]
MINTYE BERHAD Summary",Consumer Products & Services - Main Market,0.800 - 1.000,1.49,29,2.75,0.00,0.00%,0.43,73.10,1,48.6M,Neutral 40.7,Neutral 50.0
GAMUDA BERHAD,"GAMUDA (5398) [s]
GAMUDA BERHAD Summary",Construction - Main Market,2.000 - 5.240,5.68,16,18.02,12.00,4.18%,0.91,181.57,2,"7,083.7M",Neutral 51.5,Neutral 52.6
YINSON HOLDINGS BERHAD,"YINSON (7293) [s]
YINSON HOLDINGS BERHAD Summary",Energy - Main Market,3.750 - 4.950,13.61,21,21.78,6.00,1.31%,2.87,94.65,5,"5,018.8M",Neutral 63.8,Neutral 55.2
VISDYNAMICS HOLDINGS BERHAD,"VIS (0120) [s]
VISDYNAMICS HOLDINGS BERHAD Summary",Technology - Ace Market,0.290 - 0.795,17.39,10,4.26,1.00,2.35%,1.74,21.82,2,71.9M,Neutral 32.2,Oversold 8.7
HIAP TECK VENTURE BERHAD,"HIAPTEK (5072) [s]
HIAP TECK VENTURE BERHAD Summary",Industrial Products & Services - Main Market,0.220 - 0.465,-1.65,-25,-1.02,0.50,1.92%,0.42,85.33,0,349.5M,Neutral 36.7,Oversold 7.1
XIAN LENG HOLDINGS BERHAD,"XIANLNG (7121) [s]
XIAN LENG HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,0.400 - 0.615,-1.84,-37,-1.16,0.00,0.00%,0.68,16.22,3,34.4M,Neutral 45.3,Neutral 50.0
ANZO HOLDINGS BERHAD,"ANZO (9342) [s]
ANZO HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.035 - 0.065,-2.53,-10,-0.42,0.00,0.00%,0.24,0.71,6,35.2M,Neutral 51.7,Overbought 100.0
SMTRACK BERHAD,"SMTRACK (0169) [s]
SMTRACK BERHAD Summary",Technology - Ace Market,0.055 - 0.150,-39.47,-3,-3.20,0.00,0.00%,1.17,1.29,7,13.9M,Neutral 60.1,Neutral 71.4
A-RANK BERHAD,"ARANK (7214) [s]
A-RANK BERHAD Summary",Industrial Products & Services - Main Market,0.500 - 0.915,10.21,7,7.76,2.30,4.38%,0.69,288.62,0,89.0M,Neutral 49.9,Neutral 33.3
KOMARKCORP BERHAD,"KOMARK (7017) [s]
KOMARKCORP BERHAD Summary",Industrial Products & Services - Main Market,0.120 - 0.290,-39.16,-2,-12.56,0.00,0.00%,0.87,30.74,1,46.0M,Overbought 76.7,Overbought 85.0
ASTRO MALAYSIA HOLDINGS BERHAD,"ASTRO (6399)
ASTRO MALAYSIA HOLDINGS BERHAD Summary",Telecommunications & Media - Main Market,1.050 - 2.090,79.14,17,8.88,9.00,5.88%,13.64,105.08,1,"7,977.9M",Neutral 44.9,Neutral 38.5
CRESCENDO CORPORATION BERHAD,"CRESNDO (6718) [s]
CRESCENDO CORPORATION BERHAD Summary",Property - Main Market,1.190 - 1.400,4.15,10,13.33,6.00,4.58%,0.41,105.40,1,367.4M,Neutral 54.8,Neutral 40.0
COMFORT GLOVES BERHAD,"COMFORT (2127) [s]
COMFORT GLOVES BERHAD Summary",Industrial Products & Services - Main Market,0.690 - 1.100,10.12,17,4.96,0.00,0.00%,1.77,84.33,1,486.1M,Neutral 56.4,Overbought 88.9
WONG ENGINEERING CORPORATION BERHAD,"WONG (7050) [s]
WONG ENGINEERING CORPORATION BERHAD Summary",Industrial Products & Services - Main Market,0.515 - 1.100,7.31,13,4.14,1.60,2.88%,0.98,52.93,1,63.6M,Neutral 43.1,Neutral 47.1
TECK GUAN PERDANA BERHAD,"TECGUAN (7439)
TECK GUAN PERDANA BERHAD Summary",Consumer Products & Services - Main Market,0.695 - 1.550,5.19,22,6.35,0.00,0.00%,1.15,752.93,0,56.5M,Overbought 70.4,Neutral 75.9
KUMPULAN H & L HIGH-TECH BERHAD,"HIGHTEC (7033) [s]
KUMPULAN H & L HIGH-TECH BERHAD Summary",Industrial Products & Services - Main Market,1.110 - 1.680,2.99,16,7.57,3.50,2.92%,0.47,57.95,2,48.7M,Neutral 37.9,Neutral 45.0
PROLEXUS BERHAD,"PRLEXUS (8966) [s]
PROLEXUS BERHAD Summary",Consumer Products & Services - Main Market,0.500 - 0.850,1.40,31,1.80,0.50,0.91%,0.43,188.17,0,99.2M,Neutral 35.1,Neutral 20.8
SCGM BHD,"SCGM (7247) [s]
SCGM BHD Summary",Industrial Products & Services - Main Market,1.000 - 1.910,1.31,95,1.12,1.25,1.18%,1.24,112.14,1,205.2M,Oversold 26.7,Neutral 23.5
KIM LOONG RESOURCES BERHAD,"KMLOONG (5027) [s]
KIM LOONG RESOURCES BERHAD Summary",Plantation - Main Market,1.130 - 4.340,7.12,21,5.57,5.97,5.06%,1.51,93.32,1,"1,103.8M",Oversold 28.2,Oversold 0.0
V.S. INDUSTRY BERHAD,"VS (6963) [s]
V.S. INDUSTRY BERHAD Summary",Industrial Products & Services - Main Market,0.630 - 2.440,8.78,14,7.56,3.41,3.19%,1.24,217.45,0,"1,943.2M",Neutral 60.2,Overbought 85.2
SAPURA RESOURCES BERHAD,"SAPRES (4596) [s]
SAPURA RESOURCES BERHAD Summary",Property - Main Market,0.600 - 1.120,-1.35,-14,-4.40,0.00,0.00%,0.19,34.99,2,85.9M,Neutral 42.8,Neutral 30.0
HAI-O ENTERPRISE BERHAD,"HAIO (7668)
HAI-O ENTERPRISE BERHAD Summary",Consumer Products & Services - Main Market,2.480 - 5.390,17.35,14,17.87,15.00,5.88%,2.48,122.90,2,765.8M,Oversold 21.7,Oversold 8.7
SAUDEE GROUP BERHAD,"SAUDEE (5157) [s]
SAUDEE GROUP BERHAD Summary",Consumer Products & Services - Main Market,0.280 - 0.475,-4.77,-14,-2.24,0.00,0.00%,0.68,53.87,1,42.4M,Neutral 53.3,Neutral 57.1
GEORGE KENT (MALAYSIA) BERHAD,"GKENT (3204) [s]
GEORGE KENT (MALAYSIA) BERHAD Summary",Construction - Main Market,0.755 - 4.240,17.09,8,15.08,6.90,6.05%,1.29,76.47,1,642.1M,Neutral 53.1,Neutral 42.9
SAPURA ENERGY BERHAD,"SAPNRG (5218) [s]
SAPURA ENERGY BERHAD Summary",Energy - Main Market,0.255 - 0.910,16.90,25,1.30,0.04,0.12%,4.29,33.18,1,"5,273.1M",Neutral 50.6,Neutral 25.0
MYNEWS HOLDINGS BERHAD,"MYNEWS (5275)
MYNEWS HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,1.260 - 1.720,9.90,32,4.16,1.00,0.75%,3.19,62.29,2,914.1M,Neutral 44.5,Oversold 14.3
NEXGRAM HOLDINGS BERHAD,"NEXGRAM (0096) [s]
NEXGRAM HOLDINGS BERHAD Summary",Telecommunications & Media - Ace Market,0.010 - 0.070,-0.38,-1,-2.78,0.00,0.00%,0.00,2.48,1,41.4M,Neutral 51.8,Overbought 100.0
MCE HOLDINGS BERHAD,"MCEHLDG (7004) [s]
MCE HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.435 - 0.830,-4.39,-8,-8.73,0.00,0.00%,0.36,141.74,1,31.5M,Neutral 68.8,Overbought 87.5
TECHNODEX BHD,"TDEX (0132) [s]
TECHNODEX BHD Summary",Technology - Ace Market,0.065 - 0.135,-17.00,-6,-1.19,0.00,0.00%,1.07,10.21,1,44.3M,Neutral 46.2,Neutral 66.7
SUBUR TIASA HOLDINGS BERHAD,"SUBUR (6904) [s]
SUBUR TIASA HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.400 - 1.000,-3.84,-4,-12.11,0.00,0.00%,0.16,138.19,0,104.5M,Neutral 45.4,Oversold 0.0
SUPERLON HOLDINGS BERHAD,"SUPERLN (7235) [s]
SUPERLON HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.995 - 1.610,8.00,18,6.25,1.14,1.02%,1.43,64.78,2,179.2M,Oversold 22.5,Oversold 7.4
TOP GLOVE CORPORATION BHD,"TOPGLOV (7113) [s]
TOP GLOVE CORPORATION BHD Summary",Health Care - Main Market,4.300 - 12.480,17.34,27,16.99,5.93,1.30%,4.66,185.09,2,"11,701.9M",Neutral 49.0,Overbought 96.6
UNITED MALACCA BERHAD,"UMCCA (2593) [s]
UNITED MALACCA BERHAD Summary",Plantation - Main Market,5.120 - 6.530,-1.30,-58,-9.39,8.00,1.47%,0.75,99.94,5,"1,142.8M",Neutral 51.0,Neutral 71.4
SOLID AUTOMOTIVE BERHAD,"SOLID (5242) [s]
SOLID AUTOMOTIVE BERHAD Summary",Consumer Products & Services - Main Market,0.280 - 0.370,0.58,103,0.30,0.24,0.77%,0.60,35.20,1,121.5M,Neutral 53.4,Overbought 100.0
ANALABS RESOURCES BERHAD,"ANALABS (7083) [s]
ANALABS RESOURCES BERHAD Summary",Industrial Products & Services - Main Market,1.010 - 2.840,3.64,15,7.22,1.85,1.68%,0.55,115.50,1,132.1M,Neutral 42.4,Oversold 0.0
SAPURA INDUSTRIAL BERHAD,"SAPIND (7811) [s]
SAPURA INDUSTRIAL BERHAD Summary",Industrial Products & Services - Main Market,0.690 - 0.900,4.04,13,5.82,4.00,5.26%,0.53,314.37,0,55.3M,Neutral 54.2,Neutral 60.0
BERJAYA LAND BERHAD,"BJLAND (4219)
BERJAYA LAND BERHAD Summary",Consumer Products & Services - Main Market,0.180 - 0.365,-2.22,-14,-1.82,0.00,0.00%,0.30,123.72,0,"1,250.1M",Neutral 34.3,Oversold 11.1
DPI HOLDINGS BERHAD,"DPIH (0205)
DPI HOLDINGS BERHAD Summary",Consumer Products & Services - Ace Market,0.185 - 0.350,4.00,34,0.56,0.00,0.00%,1.36,4.15,5,92.5M,Oversold 22.5,Oversold 14.3
JAYCORP BERHAD,"JAYCORP (7152) [s]
JAYCORP BERHAD Summary",Consumer Products & Services - Main Market,0.750 - 1.010,9.77,8,11.33,8.00,8.47%,0.81,231.67,0,129.7M,Neutral 62.9,Neutral 58.1
REDTONE INTERNATIONAL BERHAD,"REDTONE (0032)
REDTONE INTERNATIONAL BERHAD Summary",Telecommunications & Media - Ace Market,0.150 - 0.335,9.07,16,1.81,0.00,0.00%,1.43,18.09,2,216.1M,Neutral 62.0,Neutral 52.4
ASDION BERHAD,"ASDION (0068) [s]
ASDION BERHAD Summary",Technology - Ace Market,0.155 - 0.535,-30.71,-13,-2.15,0.00,0.00%,3.93,9.78,3,32.0M,Neutral 60.0,Neutral 50.0
GLOMAC BERHAD,"GLOMAC (5020) [s]
GLOMAC BERHAD Summary",Property - Main Market,0.360 - 0.530,2.41,11,3.32,1.49,4.08%,0.27,35.57,1,292.0M,Neutral 45.2,Neutral 25.0
SAMCHEM HOLDINGS BERHAD,"SAMCHEM (5147)
SAMCHEM HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.595 - 1.150,14.81,8,7.85,2.00,3.33%,1.13,402.65,0,163.2M,Neutral 36.8,Oversold 20.0
SCIENTEX BERHAD,"SCIENTX (4731) [s]
SCIENTEX BERHAD Summary",Industrial Products & Services - Main Market,6.510 - 9.480,14.28,16,53.82,20.00,2.37%,2.24,547.00,2,"4,336.0M",Neutral 40.2,Neutral 40.7
BERJAYA SPORTS TOTO BERHAD,"BJTOTO (1562)
BERJAYA SPORTS TOTO BERHAD Summary",Consumer Products & Services - Main Market,2.010 - 2.620,30.29,13,17.87,15.50,6.49%,4.05,415.65,1,"3,229.0M",Neutral 59.8,Overbought 92.9
MAGNI-TECH INDUSTRIES BERHAD,"MAGNI (7087) [s]
MAGNI-TECH INDUSTRIES BERHAD Summary",Consumer Products & Services - Main Market,3.880 - 5.520,19.39,7,62.05,23.00,5.02%,1.43,650.82,1,745.3M,Neutral 47.1,Oversold 18.2
SELANGOR PROPERTIES BERHAD,"SPB (1783)
SELANGOR PROPERTIES BERHAD Summary",Property - Main Market,3.950 - 6.250,2.48,35,18.01,0.00,0.00%,0.86,50.24,12,"2,147.6M",Overbought 88.3,Overbought 100.0
CHOO BEE METAL INDUSTRIES BHD,"CHOOBEE (5797) [s]
CHOO BEE METAL INDUSTRIES BHD Summary",Industrial Products & Services - Main Market,1.410 - 2.480,6.38,6,24.58,4.96,3.12%,0.41,379.87,0,209.4M,Neutral 47.0,Neutral 37.5
POH HUAT RESOURCES HOLDINGS BERHAD,"POHUAT (7088) [s]
POH HUAT RESOURCES HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,1.150 - 1.640,16.04,6,24.07,6.00,4.00%,1.00,281.59,1,350.0M,Oversold 29.0,Oversold 0.0
