code,date,news
https://www.klsescreener.com/v2/news/stock/6947,"TheStar17 Apr, 2019 17:57pm - 4 hours ago","KLCI lowest since Dec 2016 on Maybank, Tenaga losses"
https://www.klsescreener.com/v2/news/stock/6947,"TheStar15 Apr, 2019 17:43pm - 2 days ago","Blue chips eke out small gains, PChem, Maxis climb"
https://www.klsescreener.com/v2/news/stock/6947,"TheStar15 Apr, 2019 12:54pm - 2 days ago","KLCI turns more bullish as trade, economic tensions ease"
https://www.klsescreener.com/v2/news/stock/6947,"TheEdge15 Apr, 2019 09:02am - 2 days ago",When defensive stocks are no longer a bear-market safe haven
https://www.klsescreener.com/v2/news/stock/6947,"TheStar15 Apr, 2019 06:55am - 2 days ago",Ishsal: No intention to profit from 5G
https://www.klsescreener.com/v2/news/stock/6947,"TheStar12 Apr, 2019 17:49pm - 5 days ago",KLCI closes higher on Tenaga rebound but PChem weighs
https://www.klsescreener.com/v2/news/stock/6947,"TheEdge12 Apr, 2019 09:50am - 5 days ago",KLCI skids to fresh two-year low as TNB drags
https://www.klsescreener.com/v2/news/stock/6947,"TheStar11 Apr, 2019 17:47pm - 6 days ago","Tenaga, under pressure, pushes KLCI to Dec 2016 low"
https://www.klsescreener.com/v2/news/stock/6947,"TheStar10 Apr, 2019 17:29pm - 1 week ago","Petronas stocks weigh on KLCI, Ekovest up in active trade"
https://www.klsescreener.com/v2/news/stock/6947,"TheEdge10 Apr, 2019 11:13am - 1 week ago",A technical rebound expected but trend remains bearish
https://www.klsescreener.com/v2/news/stock/6947,"TheStar09 Apr, 2019 17:28pm - 1 week ago",Construction stocks advance on rail projects hopes
https://www.klsescreener.com/v2/news/stock/6947,"Sinchew09 Apr, 2019 11:38am - 1 week ago",新配套受看好 ‧ 明讯财测暂不变
https://www.klsescreener.com/v2/news/stock/6947,"TheStar09 Apr, 2019 09:37am - 1 week ago",Penny oil stocks edge higher as crude climbs
https://www.klsescreener.com/v2/news/stock/6947,"Sinchew09 Apr, 2019 09:30am - 1 week ago",通讯股下挫拖累‧马股开盘开高走低
https://www.klsescreener.com/v2/news/stock/6947,"TheStar08 Apr, 2019 17:44pm - 1 week ago","Gains in Maxis, Axiata lift KLCI but Public Bank stumbles"
https://www.klsescreener.com/v2/news/stock/6947,"TheStar08 Apr, 2019 12:52pm - 1 week ago","KLCI tracks positive US jobs data, Wall St gains"
https://www.klsescreener.com/v2/news/stock/6947,"TheStar05 Apr, 2019 17:32pm - 1 week ago","KLCI closes on weak note on Maxis, Public Bank losses"
https://www.klsescreener.com/v2/news/stock/6947,"Sinchew04 Apr, 2019 17:46pm - 1 week ago",美国社群媒体巨擘·力阻澳洲严格监管法案
https://www.klsescreener.com/v2/news/stock/6947,"TheStar04 Apr, 2019 17:37pm - 1 week ago","KLCI closes closes sightly higher on telcos, banks"
https://www.klsescreener.com/v2/news/stock/6947,"TheStar03 Apr, 2019 09:22am - 2 weeks ago","KLCI sustains rebound, banks extend recovery"
https://www.klsescreener.com/v2/news/stock/2836,"Sinchew15 Apr, 2019 17:31pm - 2 days ago",尾市面对套利‧马股全天微起1.16点
https://www.klsescreener.com/v2/news/stock/2836,"TheEdge15 Apr, 2019 13:28pm - 2 days ago",亚股ECRL提振马股走高
https://www.klsescreener.com/v2/news/stock/2836,"Sinchew15 Apr, 2019 13:05pm - 2 days ago",大马股汇双扬‧富时综指半天起3.20点
https://www.klsescreener.com/v2/news/stock/2836,"TheEdge15 Apr, 2019 12:57pm - 2 days ago","Positive regional, ECRL vibes lift KLCI"
https://www.klsescreener.com/v2/news/stock/2836,"TheEdge15 Apr, 2019 10:53am - 2 days ago",亚股走强ERCL复苏 提振马股扬0.38%
https://www.klsescreener.com/v2/news/stock/2836,"TheEdge15 Apr, 2019 10:18am - 2 days ago","KLCI rises 0.38% on revived ECRL news, firmer regional markets"
https://www.klsescreener.com/v2/news/stock/2836,"Sinchew13 Apr, 2019 11:41am - 4 days ago",佳节带动 次季销售料转强‧消费股挑战不减
https://www.klsescreener.com/v2/news/stock/2836,"TheEdge12 Apr, 2019 23:47pm - 4 days ago","Sapura Energy, Dialog Group, Cycle & Carriage Bintang, LKL Intl, Cypark Resources, FGV Holdings, MyNews Holdings and Hap Seng Plantations"
https://www.klsescreener.com/v2/news/stock/2836,"TheEdge12 Apr, 2019 21:33pm - 5 days ago",Mohammed Che Hussein to replace Ahmad Mohd Don as chairman of Hap Seng Plantations
https://www.klsescreener.com/v2/news/stock/2836,"TheEdge12 Apr, 2019 13:27pm - 5 days ago",区域股市回落 马股小涨0.16%
https://www.klsescreener.com/v2/news/stock/2836,"TheEdge12 Apr, 2019 12:52pm - 5 days ago",KLCI ekes out marginal gains as regional markets retreat
https://www.klsescreener.com/v2/news/stock/2836,"TheEdge11 Apr, 2019 13:20pm - 6 days ago",马股跌至3年新低
https://www.klsescreener.com/v2/news/stock/2836,"TheEdge11 Apr, 2019 12:54pm - 6 days ago",KLCI drops 0.69% to lowest level in 3 years
https://www.klsescreener.com/v2/news/stock/2836,"Sinchew11 Apr, 2019 12:11pm - 6 days ago",啤酒4月调升·皇帽今年不再涨价
https://www.klsescreener.com/v2/news/stock/2836,"TheEdge11 Apr, 2019 09:52am - 6 days ago",‘No plans to raise Carlsberg beer prices again this year’
https://www.klsescreener.com/v2/news/stock/2836,"TheStar11 Apr, 2019 08:25am - 6 days ago",Cheer for beer drinkers
https://www.klsescreener.com/v2/news/stock/2836,"Nanyang10 Apr, 2019 22:54pm - 1 week ago",本月初已涨3 至6% 皇帽今年不再起价
https://www.klsescreener.com/v2/news/stock/2836,"Orientaldaily10 Apr, 2019 22:12pm - 1 week ago",原料止漲　皇幅啤酒今年不再漲價
https://www.klsescreener.com/v2/news/stock/2836,"Chinapress10 Apr, 2019 21:05pm - 1 week ago",为原料护盘免损赚幅 Carlsberg：今年内不再涨价
https://www.klsescreener.com/v2/news/stock/2836,"TheEdge10 Apr, 2019 18:47pm - 1 week ago","No plan to raise Carlsberg beer prices again this year, says MD"
https://www.klsescreener.com/v2/news/stock/4162,"TheEdge17 Apr, 2019 13:39pm - 9 hours ago",市场准入水平或遭下修 拖累马股挫0.8%
https://www.klsescreener.com/v2/news/stock/4162,"TheEdge17 Apr, 2019 13:06pm - 9 hours ago",KLCI falls 0.8% on possible downgrade of market accessibility level
https://www.klsescreener.com/v2/news/stock/4162,"TheEdge17 Apr, 2019 11:05am - 11 hours ago",国能马银行拖累 马股挫0.3%
https://www.klsescreener.com/v2/news/stock/4162,"TheEdge17 Apr, 2019 10:23am - 12 hours ago","KLCI down 0.3% as Tenaga, Maybank drag"
https://www.klsescreener.com/v2/news/stock/4162,"TheEdge16 Apr, 2019 13:56pm - 1 day ago",技术指标疲弱 拖累马股回落
