name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70322,22-Mar-19,7:12 PM,-,-,-,0.215,0,"0.005 / 1,000",0.255 / 100
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70324,22-Mar-19,7:12 PM,-,-,-,0.815,0,0.000 / 0,0.000 / 0
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70326,22-Mar-19,7:12 PM,-,-,-,0.495,0,0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70328,22-Mar-19,7:12 PM,0.255,0.235,0.26,0.25,"3,768",0.100 / 100,0.260 / 100
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70330,22-Mar-19,7:12 PM,0.345,0.305,0.345,0.335,"5,784",0.305 / 300,0.345 / 290
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70332,22-Mar-19,7:12 PM,-,-,-,0.72,0,0.000 / 0,0.820 / 120
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70334,22-Mar-19,7:12 PM,-,-,-,1.01,0,0.960 / 100,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70336,22-Mar-19,7:12 PM,0.57,0.53,0.57,0.56,"4,254",0.000 / 0,0.000 / 0
A50CHIN-C38: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70338,22-Mar-19,7:12 PM,0.235,0.215,0.235,0.23,"170,190",0.215 / 300,0.240 / 100
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70321,22-Mar-19,7:12 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70323,22-Mar-19,7:12 PM,-,-,-,0.005,0,0.000 / 0,"0.045 / 2,605"
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70325,22-Mar-19,7:12 PM,-,-,-,0.035,0,"0.005 / 1,500",0.000 / 0
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70327,22-Mar-19,7:12 PM,0.06,0.06,0.07,0.065,"5,083",0.065 / 70,0.070 / 500
A50CHIN-H29: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70329,22-Mar-19,7:12 PM,0.375,0.375,0.4,0.38,"177,715",0.100 / 150,0.425 / 300
ASTRAL ASIA BHD,7054,22-Mar-19,7:12 PM,0.16,0.16,0.21,0.16,221,0.160 / 199,0.175 / 10
AIRASIA X BERHAD,5238,22-Mar-19,7:12 PM,0.255,0.25,0.255,0.255,"79,270","0.250 / 8,365","0.255 / 36,144"
