name,code,Sector_main,sector
ADVENTA BHD,7191,Main Market,Health Care
APEX HEALTHCARE BHD,7090,Main Market,Health Care
DUOPHARMA BIOTECH BERHAD,7148,Main Market,Health Care
HARTALEGA HOLDINGS BHD,5168,Main Market,Health Care
IHH HEALTHCARE BERHAD,5225,Main Market,Health Care
KOSSAN RUBBER INDUSTRIES BHD,7153,Main Market,Health Care
KOTRA INDUSTRIES BHD,0002,Main Market,Health Care
KPJ HEALTHCARE BHD,5878,Main Market,Health Care
PHARMANIAGA BHD,7081,Main Market,Health Care
SUPERMAX CORPORATION BHD,7106,Main Market,Health Care
TMC LIFE SCIENCES BHD,0101,Main Market,Health Care
TMC LIFE SCIENCES BERHAD WARRANTS B,0101WB,Main Market,Health Care
TOP GLOVE CORPORATION BHD,7113,Main Market,Health Care
Y.S.P.SOUTHEAST ASIA HOLDING,7178,Main Market,Health Care
ALAM MARITIM RESOURCES BHD,5115,Main Market,Energy
BUMI ARMADA BERHAD,5210,Main Market,Energy
BARAKAH OFFSHORE PETROLEUM BHD,7251,Main Market,Energy
CARIMIN PETROLEUM BERHAD,5257,Main Market,Energy
COASTAL CONTRACTS BHD,5071,Main Market,Energy
DAYA MATERIALS BHD,0091,Main Market,Energy
DAYANG ENTERPRISE HOLDINGS BHD,5141,Main Market,Energy
DELEUM BHD,5132,Main Market,Energy
DIALOG GROUP BHD,7277,Main Market,Energy
HANDAL RESOURCES BERHAD,7253,Main Market,Energy
HENGYUAN REFINING COMPANY BERHAD,4324,Main Market,Energy
HIBISCUS PETROLEUM BHD,5199,Main Market,Energy
HIBISCUS PETROLEUM BERHAD - WARRANTS 2018/2021,5199WC,Main Market,Energy
SINO HUA-AN INTERNATIONAL BHD,2739,Main Market,Energy
ICON OFFSHORE BERHAD,5255,Main Market,Energy
KNM GROUP BHD,7164,Main Market,Energy
KNM GROUP BERHAD - WARRANTS 2015/2020,7164WB,Main Market,Energy
MALAYSIA MARINE AND HEAVY ENG,5186,Main Market,Energy
PETRA ENERGY BHD,5133,Main Market,Energy
PERDANA PETROLEUM BERHAD,7108,Main Market,Energy
PERISAI PETROLEUM TEKNOLOGI,0047,Main Market,Energy
PETRON MALAYSIA REFINING & MARKETING BERHAD,3042,Main Market,Energy
REACH ENERGY BHD,5256,Main Market,Energy
REACH ENERGY BHD-WARRANTS A 14/22,5256WA,Main Market,Energy
SAPURA ENERGY BERHAD,5218,Main Market,Energy
SAPURA ENERGY BERHAD - RCPS-I A 2019/2024,5218PA,Main Market,Energy
SAPURA ENERGY BERHAD - WARRANTS A 2019/2026,5218WA,Main Market,Energy
SCOMI GROUP BHD,7158,Main Market,Energy
SCOMI GROUP BERHAD - WARRANTS B,7158WB,Main Market,Energy
SCOMI ENERGY SERVICES BHD,7045,Main Market,Energy
SERBA DINAMIK HOLDINGS BERHAD,5279,Main Market,Energy
SUMATEC RESOURCES BHD,1201,Main Market,Energy
SUMATEC RES BHD-WARRANTS 11/21,1201WA,Main Market,Energy
T7 GLOBAL BERHAD,7228,Main Market,Energy
TH HEAVY ENGINEERING BERHAD,7206,Main Market,Energy
TH HEAVY ENGINEERING BERHAD-ISLAMIC IRREDEEMABLE CONVERTIBLE PREFERENCE SHARES 15/20,7206PB,Main Market,Energy
UZMA BHD,7250,Main Market,Energy
VELESTO ENERGY BERHAD,5243,Main Market,Energy
VELESTO ENERGY BERHAD - WARRANTS 2017/2024,5243WA,Main Market,Energy
WAH SEONG CORPORATION BHD,5142,Main Market,Energy
YINSON HOLDINGS BHD,7293,Main Market,Energy
CENSOF HOLDINGS BERHAD,5195,Main Market,Technology
CENSOF HOLDINGS BERHAD - WARRANTS B 14/19,5195WB,Main Market,Technology
CUSCAPI BHD,0051,Main Market,Technology
D&O GREEN TECHNOLOGIES BERHAD,7204,Main Market,Technology
DATAPREP HOLDINGS BHD,8338,Main Market,Technology
DIGISTAR CORPORATION BHD,0029,Main Market,Technology
DIGISTAR CORP BHD-WB,0029WB,Main Market,Technology
DAGANG NEXCHANGE BERHAD,4456,Main Market,Technology
DAGANG NEXCHANGE BERHAD - WARRANTS 2016/2021,4456WD,Main Market,Technology
DATASONIC GROUP BERHAD,5216,Main Market,Technology
DATASONIC GROUP BERHAD - WARRANTS A 2018/2023,5216WA,Main Market,Technology
EDARAN BHD,5036,Main Market,Technology
EXCEL FORCE MSC BHD,0065,Main Market,Technology
EXCEL FORCE MSC BHD-WARRANT A 14/19,0065WA,Main Market,Technology
ELSOFT RESEARCH BHD,0090,Main Market,Technology
FRONTKEN CORPORATION BHD,0128,Main Market,Technology
FSBM HOLDINGS BHD,9377,Main Market,Technology
FSBM HOLDINGS BERHAD - WARR,9377WA,Main Market,Technology
GHL SYSTEMS BHD,0021,Main Market,Technology
GRAND-FLO BERHAD,0056,Main Market,Technology
GLOBETRONICS TECHNOLOGY BHD,7022,Main Market,Technology
HEITECH PADU BHD,5028,Main Market,Technology
INARI AMERTRON BERHAD,0166,Main Market,Technology
INARI AMERTRON BERHAD-WARRANTS B 15/20,0166WB,Main Market,Technology
INDUSTRONICS BHD,9393,Main Market,Technology
JCY INTERNATIONAL BERHAD,5161,Main Market,Technology
KESM INDUSTRIES BHD,9334,Main Market,Technology
KEY ASIC BHD,0143,Main Market,Technology
MI TECHNOVATION BERHAD,5286,Main Market,Technology
MMS VENTURES BHD,0113,Main Market,Technology
MALAYSIAN PACIFIC INDUSTRIES,3867,Main Market,Technology
MESINIAGA BHD,5011,Main Market,Technology
MY E.G. SERVICES BHD,0138,Main Market,Technology
MSCM HOLDINGS BERHAD,0041,Main Market,Technology
NOTION VTEC BHD,0083,Main Market,Technology
NOTION VTEC BERHAD - WARRANTS C 2018/2023,0083WC,Main Market,Technology
OMESTI BHD,9008,Main Market,Technology
PENTAMASTER CORPORATION BHD,7160,Main Market,Technology
PRESTARIANG BERHAD,5204,Main Market,Technology
THETA EDGE BERHAD,9075,Main Market,Technology
TRIVE PROPERTY GROUP BERHAD,0118,Main Market,Technology
TRIVE PROPERTY GROUP BERHAD - WARRANTS 2017/2020,0118WB,Main Market,Technology
TURIYA BHD,4359,Main Market,Technology
UNISEM (M) BHD,5005,Main Market,Technology
VITROX CORPORATION BHD,0097,Main Market,Technology
VSTECS BERHAD,5162,Main Market,Technology
