"X","code","date","news","extract_code","extracted_date","sentiscore","final_sentiment"
2022,"https://www.klsescreener.com/v2/news/stock/0001","TheStar04 Apr, 2019 08:45am - 6 days ago","scomnets bonus issue approved","0001","2019-04-04",0,"neu"
10387,"https://www.klsescreener.com/v2/news/stock/0002","TheEdge14 Mar, 2019 00:37am - 4 days ago","hdc signs mou with korean agency to enhance halal bilateral trade investment","0002","2019-03-14",1,"pos"
10388,"https://www.klsescreener.com/v2/news/stock/0002","TheEdge13 Mar, 2019 01:52am - 5 days ago","malaysia s first and biggest korean themed retail zone opens in  utama","0002","2019-03-13",0,"neu"
9183,"https://www.klsescreener.com/v2/news/stock/0005","TheEdge15 Mar, 2019 13:55pm - 2 days ago","ock ucrest orion bahvest tri mode iwcity hiap teck marine general can one sealink tambun indah bfood pccs master pack uzma eden taliworks sinmah cap","0005","2019-03-15",1,"pos"
4800,"https://www.klsescreener.com/v2/news/stock/0007","Sinchew25 Mar, 2019 09:45am - 3 weeks ago","           ","0007","2019-03-25",0,"neu"
4799,"https://www.klsescreener.com/v2/news/stock/0007","Sinchew27 Mar, 2019 11:29am - 3 weeks ago","puc laputa ventures      ","0007","2019-03-27",0,"neu"
4798,"https://www.klsescreener.com/v2/news/stock/0007","TheEdge04 Apr, 2019 14:00pm - 1 week ago","off market trades pls plantations bhd puc bhd tasek corp bhd united plantations bhd kip real estate investment trust widad group bhd","0007","2019-04-04",1,"pos"
13861,"https://www.klsescreener.com/v2/news/stock/0007","TheEdge19 Mar, 2019 13:46pm - 1 week ago","       ","0007","2019-03-19",0,"neu"
13862,"https://www.klsescreener.com/v2/news/stock/0007","TheEdge19 Mar, 2019 13:00pm - 1 week ago","klci retreats as sentiment turns tepid","0007","2019-03-19",-1,"neg"
13863,"https://www.klsescreener.com/v2/news/stock/0007","TheEdge19 Mar, 2019 10:43am - 1 week ago","         ","0007","2019-03-19",0,"neu"
13864,"https://www.klsescreener.com/v2/news/stock/0007","TheEdge19 Mar, 2019 10:23am - 1 week ago","klci edges up struggles to breach   level","0007","2019-03-19",-2,"neg"
