name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume,Sector_main,sector,change
ADVANCE INFORMATION MARKETING,122,2019-02-25,6:15 PM,-,-,-,0.28,0,0.235 / 500,0.395 / 50,Ace Market,Industrial Products & Services,
ADVANCE INFORMATION MARKETING,122,2019-02-26,7:11 PM,-,-,-,0.28,0,0.240 / 200,"0.400 / 2,000",Ace Market,Industrial Products & Services,0.0
ADVANCE INFORMATION MARKETING,122,2019-02-27,7:11 PM,-,-,-,0.28,0,0.240 / 200,"0.400 / 2,000",Ace Market,Industrial Products & Services,0.0
ADVANCE INFORMATION MARKETING,122,2019-02-28,7:11 PM,-,-,-,0.28,0,"0.245 / 2,000","0.280 / 1,800",Ace Market,Industrial Products & Services,0.0
ADVANCE INFORMATION MARKETING,122,2019-03-01,7:11 PM,-,-,-,0.28,0,"0.240 / 2,200","0.400 / 2,200",Ace Market,Industrial Products & Services,0.0
ADVANCE INFORMATION MARKETING,122,2019-03-04,7:11 PM,-,-,-,0.28,0,0.245 / 150,"0.400 / 2,000",Ace Market,Industrial Products & Services,0.0
ADVANCE INFORMATION MARKETING,122,2019-03-05,7:11 PM,-,-,-,0.28,0,0.245 / 200,"0.400 / 2,000",Ace Market,Industrial Products & Services,0.0
ADVANCE INFORMATION MARKETING,122,2019-03-06,7:11 PM,-,-,-,0.28,0,0.245 / 200,"0.400 / 2,000",Ace Market,Industrial Products & Services,0.0
ADVANCE INFORMATION MARKETING,122,2019-03-07,7:11 PM,-,-,-,0.28,0,0.245 / 200,"0.400 / 2,000",Ace Market,Industrial Products & Services,0.0
ADVANCE INFORMATION MARKETING,122,2019-03-08,7:11 PM,-,-,-,0.28,0,0.250 / 250,0.300 / 250,Ace Market,Industrial Products & Services,0.0
ADVANCE INFORMATION MARKETING,122,2019-03-11,7:11 PM,-,-,-,0.28,0,0.255 / 50,"0.400 / 2,000",Ace Market,Industrial Products & Services,0.0
ADVANCE INFORMATION MARKETING,122,2019-03-12,7:11 PM,-,-,-,0.28,0,0.245 / 200,"0.400 / 2,000",Ace Market,Industrial Products & Services,0.0
ADVANCE INFORMATION MARKETING,122,2019-03-13,7:13 PM,-,-,-,0.28,0,0.245 / 200,"0.400 / 2,000",Ace Market,Industrial Products & Services,0.0
ADVANCE INFORMATION MARKETING,122,2019-03-14,7:12 PM,-,-,-,0.28,0,"0.250 / 2,000","0.280 / 1,600",Ace Market,Industrial Products & Services,0.0
