name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume,Sector_main,sector,change
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-02-25,6:15 PM,-,-,-,1.51,0,1.510 / 140,1.540 / 5,Bond & Loan,Financial Services,
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-02-26,7:11 PM,1.52,1.52,1.63,1.63,323,1.350 / 100,1.550 / 12,Bond & Loan,Financial Services,0.07947019867549661
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-02-27,7:11 PM,-,-,-,1.63,0,1.450 / 500,1.550 / 512,Bond & Loan,Financial Services,0.0
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-02-28,7:11 PM,1.49,1.49,1.49,1.49,10,1.490 / 30,1.550 / 12,Bond & Loan,Financial Services,-0.08588957055214719
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-01,7:11 PM,1.55,1.5,1.55,1.5,60,1.500 / 69,1.540 / 5,Bond & Loan,Financial Services,0.00671140939597316
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-04,7:11 PM,-,-,-,1.5,0,1.500 / 160,1.600 / 66,Bond & Loan,Financial Services,0.0
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-05,7:11 PM,1.5,1.5,1.5,1.5,300,1.500 / 110,1.540 / 5,Bond & Loan,Financial Services,0.0
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-06,7:11 PM,-,-,-,1.5,0,1.500 / 550,1.600 / 60,Bond & Loan,Financial Services,0.0
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-07,7:11 PM,1.6,1.6,1.62,1.62,180,1.530 / 30,1.580 / 105,Bond & Loan,Financial Services,0.08000000000000007
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-08,7:11 PM,1.59,1.55,1.59,1.57,409,1.520 / 10,1.570 / 8,Bond & Loan,Financial Services,-0.030864197530864224
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-11,7:11 PM,1.57,1.55,1.57,1.55,380,1.400 / 30,1.600 / 42,Bond & Loan,Financial Services,-0.012738853503184723
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-12,7:11 PM,-,-,-,1.55,0,1.520 / 30,1.600 / 192,Bond & Loan,Financial Services,0.0
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-13,7:13 PM,1.55,1.55,1.55,1.55,100,1.510 / 90,1.560 / 200,Bond & Loan,Financial Services,0.0
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-14,7:12 PM,1.55,1.55,1.57,1.57,100,1.300 / 200,1.570 / 16,Bond & Loan,Financial Services,0.012903225806451623
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-15,7:11 PM,-,-,-,1.57,0,1.510 / 10,1.600 / 69,Bond & Loan,Financial Services,0.0
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-18,7:12 PM,1.6,1.6,1.62,1.61,190,1.510 / 100,1.560 / 8,Bond & Loan,Financial Services,0.02547770700636945
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-19,7:12 PM,1.52,1.52,1.52,1.52,8,1.530 / 100,1.600 / 98,Bond & Loan,Financial Services,-0.05590062111801247
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-20,7:11 PM,-,-,-,1.52,0,1.530 / 300,1.590 / 200,Bond & Loan,Financial Services,0.0
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-21,7:12 PM,1.53,1.53,1.56,1.56,100,1.540 / 80,1.600 / 50,Bond & Loan,Financial Services,0.026315789473684237
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-22,7:12 PM,-,-,-,1.56,0,1.520 / 55,1.580 / 8,Bond & Loan,Financial Services,0.0
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-25,7:12 PM,1.53,1.53,1.53,1.53,60,1.530 / 55,1.590 / 300,Bond & Loan,Financial Services,-0.019230769230769246
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-26,7:12 PM,1.53,1.53,1.53,1.53,10,1.520 / 55,1.570 / 58,Bond & Loan,Financial Services,0.0
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-27,7:12 PM,1.53,1.53,1.59,1.59,75,1.490 / 10,1.560 / 113,Bond & Loan,Financial Services,0.03921568627450984
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-28,7:12 PM,1.54,1.54,1.54,1.54,160,1.530 / 109,1.540 / 283,Bond & Loan,Financial Services,-0.031446540880503165
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-03-29,7:12 PM,-,-,-,1.54,0,1.500 / 300,1.540 / 613,Bond & Loan,Financial Services,0.0
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-04-01,7:12 PM,1.500,1.500,1.500,1.5,36,1.500 / 359,1.560 / 113,Bond & Loan,Financial Services,-0.025974025974026
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-04-02,7:12 PM,1.520,1.510,1.520,1.51,628,1.520 / 56,1.560 / 213,Bond & Loan,Financial Services,0.006666666666666672
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-04-03,7:12 PM,1.53,1.53,1.53,1.53,174,1.520 / 86,1.530 / 5,Bond & Loan,Financial Services,0.013245033112582794
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-04-04,7:12 PM,-,-,-,1.53,0,1.520 / 56,1.550 / 30,Bond & Loan,Financial Services,0.0
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-04-05,7:12 PM,1.55,1.55,1.55,1.55,30,1.520 / 56,1.550 / 95,Bond & Loan,Financial Services,0.013071895424836612
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-04-08,7:12 PM,-,-,-,1.55,0,1.400 / 30,1.550 / 95,Bond & Loan,Financial Services,0.0
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-04-09,7:12 PM,-,-,-,1.55,0,1.500 / 102,1.550 / 95,Bond & Loan,Financial Services,0.0
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-04-10,7:12 PM,1.530,1.530,1.530,1.53,769,1.510 / 110,1.540 / 10,Bond & Loan,Financial Services,-0.012903225806451623
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-04-11,7:11 PM,1.51,1.51,1.51,1.51,8,1.510 / 102,1.540 / 10,Bond & Loan,Financial Services,-0.013071895424836612
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,2019-04-12,7:12 PM,1.510,1.500,1.510,1.51,115,1.500 / 100,1.550 / 10,Bond & Loan,Financial Services,0.0
ASIAN PAC HOLDINGS BERHAD- ICULS 2017/2022,4057LC,2019-02-25,6:15 PM,-,-,-,0.6,0,0.600 / 100,0.800 / 80,Bond & Loan,Property,
ASIAN PAC HOLDINGS BERHAD- ICULS 2017/2022,4057LC,2019-02-26,7:11 PM,-,-,-,0.6,0,0.600 / 100,0.805 / 30,Bond & Loan,Property,0.0
ASIAN PAC HOLDINGS BERHAD- ICULS 2017/2022,4057LC,2019-02-27,7:11 PM,0.6,0.6,0.6,0.6,5,0.600 / 95,0.805 / 30,Bond & Loan,Property,0.0
ASIAN PAC HOLDINGS BERHAD- ICULS 2017/2022,4057LC,2019-02-28,7:11 PM,0.6,0.6,0.6,0.6,10,0.560 / 123,0.805 / 30,Bond & Loan,Property,0.0
ASIAN PAC HOLDINGS BERHAD- ICULS 2017/2022,4057LC,2019-03-01,7:11 PM,-,-,-,0.6,0,0.580 / 100,0.805 / 30,Bond & Loan,Property,0.0
ASIAN PAC HOLDINGS BERHAD- ICULS 2017/2022,4057LC,2019-03-04,7:11 PM,-,-,-,0.6,0,0.580 / 100,0.805 / 30,Bond & Loan,Property,0.0
ASIAN PAC HOLDINGS BERHAD- ICULS 2017/2022,4057LC,2019-03-05,7:11 PM,-,-,-,0.6,0,0.580 / 100,0.805 / 30,Bond & Loan,Property,0.0
ASIAN PAC HOLDINGS BERHAD- ICULS 2017/2022,4057LC,2019-03-06,7:11 PM,-,-,-,0.6,0,0.580 / 100,0.805 / 30,Bond & Loan,Property,0.0
ASIAN PAC HOLDINGS BERHAD- ICULS 2017/2022,4057LC,2019-03-07,7:11 PM,-,-,-,0.6,0,0.580 / 100,0.805 / 30,Bond & Loan,Property,0.0
