name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume,Sector_main,sector,change
ABF MALAYSIA BOND INDEX FUND,0800EA,2019-02-25,6:15 PM,1.166,1.166,1.166,1.166,"1,000","1.163 / 1,000","1.168 / 1,000",ETF,Exchange Traded Fund-Bond,
ABF MALAYSIA BOND INDEX FUND,0800EA,2019-02-26,7:11 PM,1.167,1.167,1.167,1.167,5,"1.162 / 1,000",1.167 / 995,ETF,Exchange Traded Fund-Bond,0.0008576329331047273
ABF MALAYSIA BOND INDEX FUND,0800EA,2019-02-27,7:11 PM,-,-,-,1.167,0,"1.162 / 1,000","1.167 / 1,000",ETF,Exchange Traded Fund-Bond,0.0
ABF MALAYSIA BOND INDEX FUND,0800EA,2019-02-28,7:11 PM,-,-,-,1.167,0,"1.163 / 1,000","1.168 / 1,000",ETF,Exchange Traded Fund-Bond,0.0
ABF MALAYSIA BOND INDEX FUND,0800EA,2019-03-01,7:11 PM,-,-,-,1.167,0,"1.163 / 1,000","1.168 / 1,000",ETF,Exchange Traded Fund-Bond,0.0
ABF MALAYSIA BOND INDEX FUND,0800EA,2019-03-04,7:11 PM,-,-,-,1.167,0,1.167 / 13,"1.168 / 1,000",ETF,Exchange Traded Fund-Bond,0.0
ABF MALAYSIA BOND INDEX FUND,0800EA,2019-03-05,7:11 PM,-,-,-,1.167,0,1.167 / 13,"1.168 / 1,000",ETF,Exchange Traded Fund-Bond,0.0
ABF MALAYSIA BOND INDEX FUND,0800EA,2019-03-06,7:11 PM,-,-,-,1.167,0,1.167 / 13,"1.168 / 1,000",ETF,Exchange Traded Fund-Bond,0.0
ABF MALAYSIA BOND INDEX FUND,0800EA,2019-03-07,7:11 PM,-,-,-,1.167,0,1.167 / 13,"1.168 / 1,000",ETF,Exchange Traded Fund-Bond,0.0
ABF MALAYSIA BOND INDEX FUND,0800EA,2019-03-08,7:11 PM,-,-,-,1.167,0,1.167 / 13,"1.170 / 1,000",ETF,Exchange Traded Fund-Bond,0.0
ABF MALAYSIA BOND INDEX FUND,0800EA,2019-03-11,7:11 PM,1.17,1.17,1.17,1.17,200,1.167 / 13,1.170 / 800,ETF,Exchange Traded Fund-Bond,0.002570694087403506
ABF MALAYSIA BOND INDEX FUND,0800EA,2019-03-12,7:11 PM,-,-,-,1.17,0,"1.167 / 1,013","1.172 / 1,000",ETF,Exchange Traded Fund-Bond,0.0
ABF MALAYSIA BOND INDEX FUND,0800EA,2019-03-13,7:13 PM,1.172,1.172,1.172,1.172,398,1.170 / 3,1.172 / 602,ETF,Exchange Traded Fund-Bond,0.001709401709401711
ABF MALAYSIA BOND INDEX FUND,0800EA,2019-03-14,7:12 PM,1.173,1.173,1.173,1.173,5,"1.168 / 1,000",1.173 / 995,ETF,Exchange Traded Fund-Bond,0.0008532423208192082
ABF MALAYSIA BOND INDEX FUND,0800EA,2019-03-15,7:11 PM,-,-,-,1.173,0,"1.168 / 1,000","1.173 / 1,000",ETF,Exchange Traded Fund-Bond,0.0
ABF MALAYSIA BOND INDEX FUND,0800EA,2019-03-18,7:12 PM,-,-,-,1.173,0,"1.169 / 1,000","1.174 / 1,000",ETF,Exchange Traded Fund-Bond,0.0
ABF MALAYSIA BOND INDEX FUND,0800EA,2019-03-19,7:12 PM,-,-,-,1.173,0,"1.169 / 1,000","1.174 / 1,000",ETF,Exchange Traded Fund-Bond,0.0
