name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume,Sector_main,sector,change
 MALAKOFC15: CW MALAKOFF CORPORATION BERHAD (CIMB),526415,2019-02-25,6:29 PM,0.035,0.035,0.035,0.035,700,0.010 / 300,0.040 / 660,Warrants,Utilities,
 MALAKOFC15: CW MALAKOFF CORPORATION BERHAD (CIMB),526415,2019-02-26,7:11 PM,0.035,0.035,0.035,0.035,"1,700","0.010 / 1,000",0.055 / 312,Warrants,Utilities,0.0
 MALAKOFC15: CW MALAKOFF CORPORATION BERHAD (CIMB),526415,2019-02-27,7:11 PM,-,-,-,0.035,0,0.015 / 500,"0.035 / 2,000",Warrants,Utilities,0.0
 MALAKOFC15: CW MALAKOFF CORPORATION BERHAD (CIMB),526415,2019-02-28,7:11 PM,-,-,-,0.035,0,"0.020 / 1,000","0.030 / 1,000",Warrants,Utilities,0.0
 MALAKOFC15: CW MALAKOFF CORPORATION BERHAD (CIMB),526415,2019-03-01,7:11 PM,-,-,-,0.035,0,"0.005 / 1,000",0.055 / 312,Warrants,Utilities,0.0
 MALAKOFC15: CW MALAKOFF CORPORATION BERHAD (CIMB),526415,2019-03-04,7:11 PM,-,-,-,0.035,0,"0.005 / 1,000",0.035 / 500,Warrants,Utilities,0.0
 MALAKOFC15: CW MALAKOFF CORPORATION BERHAD (CIMB),526415,2019-03-05,7:11 PM,0.035,0.035,0.035,0.035,370,0.000 / 0,0.035 / 290,Warrants,Utilities,0.0
 MALAKOFC15: CW MALAKOFF CORPORATION BERHAD (CIMB),526415,2019-03-06,7:11 PM,-,-,-,0.035,0,"0.035 / 1,000",0.055 / 312,Warrants,Utilities,0.0
 MALAKOFC15: CW MALAKOFF CORPORATION BERHAD (CIMB),526415,2019-03-07,7:11 PM,-,-,-,0.035,0,0.000 / 0,0.055 / 312,Warrants,Utilities,0.0
 MALAKOFC15: CW MALAKOFF CORPORATION BERHAD (CIMB),526415,2019-03-08,7:11 PM,0.025,0.025,0.025,0.025,"4,975",0.025 / 500,0.035 / 200,Warrants,Utilities,-0.2857142857142857
 MALAKOFC15: CW MALAKOFF CORPORATION BERHAD (CIMB),526415,2019-03-11,7:11 PM,-,-,-,0.025,0,"0.015 / 1,000",0.030 / 200,Warrants,Utilities,0.0
 MALAKOFC15: CW MALAKOFF CORPORATION BERHAD (CIMB),526415,2019-03-12,7:11 PM,-,-,-,0.025,0,0.020 / 181,0.030 / 381,Warrants,Utilities,0.0
 MALAKOFC15: CW MALAKOFF CORPORATION BERHAD (CIMB),526415,2019-03-13,7:13 PM,0.025,0.025,0.025,0.025,"3,915",0.000 / 0,0.025 / 700,Warrants,Utilities,0.0
 MALAKOFC15: CW MALAKOFF CORPORATION BERHAD (CIMB),526415,2019-03-14,7:12 PM,0.025,0.025,0.025,0.025,700,0.000 / 0,0.055 / 312,Warrants,Utilities,0.0
 MALAKOFC15: CW MALAKOFF CORPORATION BERHAD (CIMB),526415,2019-03-15,7:12 PM,-,-,-,0.025,0,0.000 / 0,0.055 / 312,Warrants,Utilities,0.0
