date,EKOVEST-CQ: CW EKOVEST BERHAD (RHB),EKOVEST-CR: CW EKOVEST BERHAD (KIBB),EKOVEST-CS: CW EKOVEST BERHAD (RHB),EKOVEST-CT: CW EKOVEST BERHAD (MACQ),GAMUDA-C51: CW GAMUDA BERHAD (MIBB),GAMUDA-C53: CW GAMUDA BERHAD (CIMB),GAMUDA-C56: CW GAMUDA BERHAD (MACQ),GAMUDA-C57: CW GAMUDA BERHAD (CIMB),GAMUDA-C58: CW GAMUDA BERHAD (MACQ),GAMUDA-C59: CW GAMUDA BERHAD (CIMB),GAMUDA-C60: CW GAMUDA BERHAD (KIBB),GAMUDA-C61: CW GAMUDA BERHAD (MACQ),GAMUDA-C62: CW GAMUDA BERHAD (AM),GAMUDA-C63: CW GAMUDA BERHAD (MIBB),GAMUDA-C64: CW GAMUDA BERHAD (KIBB),GAMUDA-C65: CW GAMUDA BERHAD (MACQ),IJM-C20: CW IJM CORPORATION BERHAD (MIBB),IJM-C21: CW IJM CORPORATION BERHAD (CIMB),IJM-C22: CW IJM CORPORATION BERHAD (KIBB),IJM-C24: CW IJM CORPORATION BERHAD (KIBB),IJM-C25: CW IJM CORPORATION BERHAD (AM),IJM-C26: CW IJM CORPORATION BERHAD (MIBB),KERJAYA-CJ: CW KERJAYA PROSPEK GROUP BERHAD (AM),KERJAYA-CK: CW KERJAYA PROSPEK GROUP BERHAD (KIBB),MUHIBAH-CJ: CW MUHIBBAH ENGINEERING (M) BERHAD (KIBB),SUNCON-CT: CW SUNWAY CONSTRUCTION GROUP BERHAD (KIBB),SUNCON-CU: CW SUNWAY CONSTRUCTION GROUP BERHAD (MIBB),SUNCON-CV: CW SUNWAY CONSTRUCTION GROUP BERHAD (AM),SUNCON-CW: CW SUNWAY CONSTRUCTION GROUP BERHAD (KIBB),WCT-C14: CW WCT HOLDINGS BERHAD (MACQ),WCT-C15: CW WCT HOLDINGS BERHAD (RHB),WCT-C16: CW WCT HOLDINGS BERHAD (KIBB)
2019-02-26,0.0,0.0,0.0,-0.0833333333333333,0.0,0.0,0.0,0.2500000000000001,0.13333333333333347,0.05882352941176459,0.0454545454545455,0.05882352941176459,0.15789473684210525,0.09523809523809533,,,0.23076923076923075,0.4000000000000001,0.0,0.1200000000000001,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0
2019-02-27,0.0,0.0,-0.22222222222222213,-0.09090909090909087,0.0,0.0,0.0,0.0,0.0,0.05555555555555562,0.04347826086956513,0.05555555555555562,0.0,0.0,,,-0.12499999999999993,-0.2142857142857144,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,-0.0833333333333333
2019-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04347826086956513,,,-0.2142857142857144,-0.09090909090909087,0.0,-0.1785714285714286,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,-0.09090909090909087
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05882352941176475,-0.02631578947368424,-0.04166666666666659,-0.05263157894736847,-0.0454545454545455,-0.04166666666666659,,,-0.09090909090909087,-0.10000000000000007,0.0,-0.04347826086956525,,,0.0,,,0.0,0.0,0.0,,0.0,-0.2500000000000001,0.0
2019-03-04,0.0,0.0,0.0,0.1999999999999999,0.0,0.0,0.0,0.0,-0.06250000000000007,-0.027027027027027053,-0.04347826086956525,-0.055555555555555455,0.0,-0.04347826086956525,,,0.0,0.0,0.0,0.0,-0.2,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0
2019-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777804,0.09090909090909087,0.11764705882352935,0.04761904761904767,0.09090909090909087,,,-0.10000000000000007,0.0,-0.9,0.0,0.04166666666666671,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0
2019-03-06,0.0,0.0,0.28571428571428553,0.0,0.0,0.0,0.0,0.0,0.13333333333333347,0.027027027027027053,0.0,0.0,0.0,0.04166666666666671,,,0.11111111111111124,0.11111111111111124,0.0,0.09090909090909087,0.040000000000000036,,0.0,,,0.0,0.0,0.0,,0.0,0.0,-0.20000000000000004
2019-03-07,0.0,0.0,0.11111111111111124,0.08333333333333341,0.0,0.0,0.0,0.0,0.0,0.02631578947368424,0.0,0.0,0.0454545454545455,-0.040000000000000036,,,0.3,0.1999999999999999,0.0,0.0,0.15384615384615374,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0
2019-03-08,0.0,0.0,0.0,-0.07692307692307697,0.0,0.0,0.0,0.0,0.0,-0.05128205128205133,0.0,-0.05263157894736847,-0.04347826086956525,0.0,,,0.07692307692307697,0.16666666666666682,0.0,0.16666666666666682,0.06666666666666674,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0
2019-03-11,0.0,0.0,0.0,0.08333333333333341,0.0,0.0,0.0,0.0,-0.05882352941176475,0.027027027027027053,-0.04166666666666659,0.0,0.0,0.0,,,0.0,-0.07142857142857148,0.0,-0.03571428571428574,-0.031250000000000035,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0
2019-03-12,0.0,0.0,0.0,-0.07692307692307697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04166666666666659,,,0.0,0.07692307692307697,0.0,0.03703703703703707,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0
2019-03-13,-0.5,0.0,-0.20000000000000004,-0.1666666666666666,0.0,0.0,0.0,0.0,0.0,-0.02631578947368424,-0.04347826086956525,-0.11111111111111106,0.0,-0.04347826086956525,,,0.0,-0.07142857142857148,0.0,-0.03571428571428574,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0
2019-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20000000000000004,-0.12499999999999993,-0.081081081081081,-0.0454545454545455,0.0,0.0,-0.0454545454545455,,,0.0,0.07692307692307697,0.0,0.03703703703703707,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.12499999999999993
2019-03-15,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,0.0,0.12499999999999993,0.07142857142857129,0.08823529411764698,0.0,0.0,-0.0454545454545455,0.0,,,0.0,0.07142857142857129,0.0,0.0,0.06451612903225812,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0
2019-03-18,0.0,0.0,-0.12499999999999993,-0.10000000000000007,0.0,0.0,0.0,0.0,-0.06666666666666654,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,-0.030303030303030325,,0.0,,,0.0,0.0,0.3333333333333334,,0.0,0.0,0.0
2019-03-19,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-0.07142857142857148,-0.054054054054054106,0.0,-0.06250000000000007,-0.04761904761904753,-0.04761904761904753,,,-0.2142857142857144,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0
2019-03-20,0.0,,0.0,-0.11111111111111106,0.0,0.0,0.0,0.0,0.0,-0.02857142857142844,0.0,-0.06666666666666654,-0.10000000000000007,-0.05000000000000005,,,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0
2019-03-21,0.0,,0.0,-0.12499999999999993,0.0,0.0,0.0,0.0,0.0,0.029411764705882214,0.0,0.07142857142857129,0.11111111111111124,0.05263157894736847,,,0.5454545454545455,0.3333333333333335,,0.17857142857142852,0.1875,,0.0,,,,0.0,0.0,,0.0,0.0,0.0
2019-03-22,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02857142857142844,0.0,0.0,0.0,0.0,,,-0.11764705882352952,-0.05000000000000005,,-0.06060606060606065,-0.0789473684210527,,0.0,,,,0.0,0.0,,0.0,0.0,-0.22222222222222213
2019-03-25,0.0,,0.0,-0.14285714285714296,0.0,0.0,0.0,-0.3333333333333333,-0.07692307692307697,-0.08823529411764712,0.0,-0.13333333333333328,-0.10000000000000007,-0.10000000000000007,-0.4333333333333333,,0.0,0.15789473684210525,,0.06451612903225812,0.0857142857142858,,0.0,-0.5666666666666667,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-26,0.0,,0.0,-0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055555555555555455,0.0,0.0,,0.13333333333333347,0.13636363636363635,,0.12121212121212115,0.1052631578947368,,0.0,0.0,0.0,,0.0,0.0,-0.4,0.0,0.0,0.0
2019-03-27,,,-0.4285714285714286,0.0,0.0,0.0,0.0,0.0,-0.0833333333333333,0.0,0.0,-0.15384615384615388,0.05882352941176459,0.0,-0.05882352941176475,,0.0,-0.040000000000000036,,-0.054054054054054106,-0.04761904761904753,,0.0,-0.07692307692307697,0.0,,0.0,0.12499999999999993,0.11111111111111124,0.0,0.0,0.0
2019-03-28,,,0.0,-0.20000000000000004,0.0,0.0,0.0,-0.1666666666666666,0.0,0.06451612903225812,-0.0952380952380952,0.18181818181818185,0.0,0.0,0.06250000000000007,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-29,,,0.0,0.2500000000000001,0.0,0.0,0.0,0.0,0.0,-0.06060606060606065,0.0,-0.07692307692307697,0.0,0.0,-0.05882352941176475,0.0,0.0,0.16666666666666682,,0.0857142857142858,0.04999999999999991,0.07692307692307697,0.0,0.0,-0.4666666666666666,,0.0,0.0,0.0,0.0,0.0,0.14285714285714274
2019-04-01,,,0.0,0.1999999999999999,,0.0,0.0,0.0,0.0,0.09677419354838718,0.0,0.08333333333333341,0.05555555555555562,0.05555555555555562,0.06250000000000007,0.0,,-0.10714285714285723,,-0.05263157894736847,-0.023809523809523832,-0.03571428571428574,0.0,0.0,-0.06250000000000007,,0.0,0.0,0.04999999999999991,,0.0,0.0
2019-04-02,,,0.2500000000000001,0.0,,0.0,0.0,0.1999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2019-04-03,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.11764705882352935,0.0,0.15384615384615374,0.1052631578947368,0.1052631578947368,0.11764705882352935,0.15,,0.0,,0.0,-0.02439024390243891,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2019-04-04,,,0.0,0.0,,0.0,0.0,0.3333333333333334,0.2727272727272728,0.05263157894736847,0.21052631578947373,0.06666666666666674,0.04761904761904767,0.04761904761904767,0.05263157894736847,0.04347826086956513,,-0.040000000000000036,,-0.027777777777777804,0.024999999999999883,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.2500000000000001
2019-04-05,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.024999999999999883,0.0,0.06250000000000007,0.09090909090909087,0.0,0.04999999999999991,0.0,,0.0,,0.0,-0.02439024390243891,0.0,,0.08333333333333341,0.0,,0.0,,0.0,,0.0,0.0
2019-04-08,,,0.0,0.16666666666666682,,0.0,0.0,0.4999999999999999,0.28571428571428553,0.14634146341463414,0.1739130434782609,0.2352941176470587,0.16666666666666682,0.2727272727272728,0.14285714285714285,0.0,,0.3333333333333334,,0.17142857142857146,0.17499999999999988,0.03703703703703707,,0.0,0.0,,0.0,,0.04761904761904767,,0.0,0.09999999999999996
2019-04-09,,,0.0,-0.14285714285714296,,0.0,0.0,0.08333333333333341,0.0,0.021276595744680868,0.03703703703703707,0.0,0.035714285714285546,0.0,0.0,0.16666666666666682,,0.0,,0.048780487804878085,0.021276595744680868,0.07142857142857129,,0.0,0.0,,0.0,,0.0,,0.0,0.09090909090909087
2019-04-10,,,2.0,1.3333333333333337,,0.0,0.0,0.0,0.0,0.04166666666666671,0.0,0.0,0.0,0.035714285714285546,0.0,0.035714285714285546,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.08333333333333341
2019-04-11,,,-0.3333333333333333,-0.07142857142857148,,0.0,0.0,-0.07692307692307697,0.0,-0.06000000000000005,-0.03571428571428574,0.09523809523809533,-0.034482758620689495,0.06896551724137938,0.0,-0.034482758620689495,,-0.06250000000000007,,-0.09302325581395343,-0.06249999999999994,0.0,,0.0,0.0,,0.0,,0.0,,0.0,-0.15384615384615388
2019-04-12,,,-0.10000000000000007,0.0,,0.0,0.0,-0.1666666666666666,-0.055555555555555455,-0.042553191489361625,-0.07407407407407414,-0.21739130434782614,-0.07142857142857148,0.0,-0.0833333333333333,-0.07142857142857148,,0.0,,0.0,0.04444444444444436,0.0,,0.0,0.0,,0.0,,-0.09090909090909087,,0.0,0.09090909090909087
